type,log
circleci,"{""type"":""workflow-completed"",""id"":""7b1c9d43-e02a-4f18-9c56-2ab7d0148e39"",""happened_at"":""2026-07-13T08:02:44.331Z"",""webhook"":{""id"":""c41b7e28-5d90-4a13-8f66-9e2c0473ab55"",""name"":""prod-notifications""},""project"":{""id"":""a7f19c4b-2d80-4e35-91ac-6b70e2d3f581"",""name"":""payments-service"",""slug"":""gh/example-net/payments-service""},""organization"":{""id"":""d81a3c07-59be-4f26-a0d3-7c14eb92f5a0"",""name"":""example-net""},""workflow"":{""id"":""9a41c7be-03d2-4f80-916b-3ce2d7a4f118"",""name"":""build-test-deploy"",""status"":""failed"",""created_at"":""2026-07-13T07:55:11.220Z"",""stopped_at"":""2026-07-13T08:02:44.118Z"",""url"":""https://app.circleci.com/pipelines/gh/example-net/payments-service/1842/workflows/9a41c7be-03d2-4f80-916b-3ce2d7a4f118""},""pipeline"":{""id"":""e1f7a92c-8b40-4d35-91ac-6b70e2d3f581"",""number"":1842,""vcs"":{""provider_name"":""github"",""origin_repository_url"":""https://github.com/example-net/payments-service"",""target_repository_url"":""https://github.com/example-net/payments-service"",""revision"":""3f81c9a47b204d168e53cc10a7b29d641ab7c052"",""branch"":""main"",""commit"":{""subject"":""bump grpc client"",""body"":""""}}}}"
cisco-anyconnect,"{""timestamp"":""2026-08-04T15:55:31.402Z"",""host"":""asa-vpn-01.acme.io"",""message_id"":""722022"",""severity"":6,""event"":""SVC connection established"",""username"":""marcus.feld"",""group_policy"":""GP-Engineering"",""tunnel_group"":""AcmeVPN"",""public_ip"":""203.0.113.47"",""assigned_ip"":""10.99.0.42"",""index"":41827,""protocol"":""TLSv1.3"",""encryption"":""AES-GCM-256"",""hashing"":""SHA384"",""client_type"":""AnyConnect Premium SSL VPN Client"",""client_version"":""5.1.4.74"",""bytes_tx"":1284192,""bytes_rx"":184221,""duration_seconds"":4,""posture_token"":""Compliant""}"
cisco-anyconnect,"{""timestamp"":""2026-07-26T09:14:02Z"",""host"":""asa-vpn-01.example.net"",""message_id"":""%ASA-4-113019"",""severity"":4,""event"":""session_disconnected"",""message"":""Group = CorpVPN, Username = praghavan, IP = 91.219.238.11, Session disconnected. Session Type: AnyConnect-Parent, Duration: 0h:00m:04s, Bytes xmt: 0, Bytes rcv: 0, Reason: Posture Assessment Failure"",""group_policy"":""CorpVPN"",""tunnel_group"":""CorpVPN"",""username"":""praghavan"",""assigned_ip"":null,""public_ip"":""91.219.238.11"",""session_type"":""AnyConnect-Parent"",""duration_seconds"":4,""bytes_transmitted"":0,""bytes_received"":0,""disconnect_reason"":""Posture Assessment Failure"",""hostscan_result"":""NON_COMPLIANT"",""hostscan_failures"":[""Antivirus definitions older than 7 days"",""Firewall disabled""],""client_version"":""5.1.4.74"",""dap_policy"":""Quarantine-DAP""}"
cisco-asa,"{""timestamp"":""2026-08-04T15:23:02.000Z"",""host"":""asa-dc1.acme.io"",""facility"":""local4"",""severity"":6,""message_id"":""302013"",""message"":""Built inbound TCP connection 4182739 for outside:203.0.113.47/54211 (203.0.113.47/54211) to dmz:10.1.2.14/443 (10.1.2.14/443)"",""action"":""Built"",""direction"":""inbound"",""protocol"":""TCP"",""connection_id"":4182739,""src_interface"":""outside"",""src_ip"":""203.0.113.47"",""src_port"":54211,""dst_interface"":""dmz"",""dst_ip"":""10.1.2.14"",""dst_port"":443,""device_version"":""9.20(3)""}"
cisco-asa,"{""timestamp"":""2026-07-19T06:14:02Z"",""host"":""asa-edge-01.example.net"",""severity"":4,""facility"":""local4"",""message_id"":""%ASA-4-106023"",""message"":""Deny tcp src outside:45.153.160.132/52410 dst dmz:10.2.4.19/1433 by access-group \""outside_access_in\"" [0x8b1f0c2e, 0x0]"",""action"":""Deny"",""protocol"":""tcp"",""src_interface"":""outside"",""src_ip"":""45.153.160.132"",""src_port"":52410,""dst_interface"":""dmz"",""dst_ip"":""10.2.4.19"",""dst_port"":1433,""access_group"":""outside_access_in"",""acl_hit_count"":247,""device_version"":""9.20(2)""}"
cisco-firepower,"{""EventTime"":""2026-08-04T15:23:31.402Z"",""DeviceUUID"":""9c1e7f3a-2b84-5d06-71ab-34cd82ef5091"",""EventType"":""ConnectionEvent"",""Action"":""Allow"",""AccessControlPolicy"":""Prod-Edge-Policy"",""AccessControlRuleName"":""Allow-Inbound-HTTPS"",""InitiatorIP"":""203.0.113.47"",""InitiatorPort"":54211,""ResponderIP"":""10.1.2.14"",""ResponderPort"":443,""Protocol"":""tcp"",""ApplicationProtocol"":""HTTPS"",""WebApplication"":""Acme"",""ClientApplication"":""Chrome"",""IngressInterface"":""outside"",""EgressInterface"":""dmz"",""IngressZone"":""untrust"",""EgressZone"":""dmz"",""InitiatorBytes"":15002,""ResponderBytes"":14839,""InitiatorPackets"":26,""ResponderPackets"":22,""ConnectionDuration"":3,""URLCategory"":""Business and Economy"",""URLReputation"":""Well known"",""SecurityIntelligence"":null,""DeviceName"":""ftd-dc1.acme.io"",""SensorID"":4182}"
cisco-firepower,"{""eventType"":""IntrusionEvent"",""timestamp"":1783232042,""deviceUUID"":""9f81c3ad-2b74-e560-a1c7-d2b4e9f0a51c"",""sensorName"":""FTD-EDGE-01"",""eventId"":441882210,""generatorId"":1,""signatureId"":31801,""signatureRevision"":18,""signatureMessage"":""SERVER-WEBAPP SQL injection attempt"",""classification"":""Web Application Attack"",""classificationId"":24,""priority"":1,""impact"":""Vulnerable"",""impactFlag"":1,""blocked"":true,""inlineResult"":""Blocked"",""srcIp"":""45.153.160.132"",""dstIp"":""10.2.4.19"",""srcPort"":52410,""dstPort"":443,""protocol"":6,""ingressZone"":""outside"",""egressZone"":""dmz"",""accessControlPolicy"":""Prod Edge Policy"",""accessControlRuleName"":""inbound-web"",""intrusionPolicy"":""Balanced Security and Connectivity"",""application"":""HTTPS"",""clientApplication"":""Python Requests"",""webApplication"":""Unknown"",""user"":null,""mitre"":[{""tactic"":""Initial Access"",""technique"":""T1190""}],""httpUri"":""/v1/search"",""httpHostname"":""api.example.net""}"
cisco-ise,"{""timestamp"":""2026-08-04T15:24:02.184291+00:00"",""EventCategory"":""Passed-Authentication"",""MessageCode"":5200,""MessageText"":""Authentication succeeded"",""AcsSessionID"":""ise-prod-01/418273904/88271"",""UserName"":""marcus.feld"",""NetworkDeviceName"":""sw-bos-floor3"",""NAS-IP-Address"":""10.1.40.2"",""NAS-Port-Id"":""GigabitEthernet1/0/14"",""Calling-Station-ID"":""00:0D:3A:F2:C4:1B"",""Called-Station-ID"":""00:1A:2B:3C:4D:5E"",""Framed-IP-Address"":""10.1.42.118"",""AuthenticationMethod"":""PEAP"",""EapAuthentication"":""EAP-MSCHAPv2"",""IdentityGroup"":""Employee"",""AuthorizationProfiles"":""Corp-Employee-VLAN42"",""SelectedAccessService"":""Default Network Access"",""SelectedAuthorizationProfiles"":""Corp-Employee-VLAN42"",""IdentityStore"":""AD-acme.io"",""ISEPolicySetName"":""Wired-Dot1X"",""Response"":""Access-Accept"",""AD-Domain"":""acme.io"",""DeviceType"":""Device Type#All Device Types#Switches"",""Location"":""Location#All Locations#BOS""}"
cisco-ise,"{""timestamp"":""2026-07-19 06:14:02.771 +0000"",""category"":""Failed-Attempt"",""messageCode"":""5400"",""messageText"":""Authentication failed"",""AcsSessionID"":""ise-psn-02/884471029/44718"",""UserName"":""host/WIN-4471XKQ2.corp.example.net"",""NetworkDeviceName"":""sw-access-11"",""NAS-IP-Address"":""10.2.1.11"",""NAS-Port-Id"":""GigabitEthernet1/0/18"",""Called-Station-ID"":""00-0D-3A-F4-1C-87"",""Calling-Station-ID"":""00-1B-44-11-3A-B7"",""AuthenticationMethod"":""PEAP_EAP_MSCHAPv2"",""SelectedAuthenticationIdentityStores"":""CORP_AD"",""AuthenticationStatus"":""AuthenticationFailed"",""FailureReason"":""22056 Subject not found in the applicable identity store(s)"",""Step"":""11823"",""IdentityGroup"":"""",""SelectedAuthorizationProfiles"":"""",""AuthorizationPolicyMatchedRule"":"""",""PostureStatus"":""NotApplicable"",""EndPointMACAddress"":""00-1B-44-11-3A-B7"",""DeviceType"":""Device Type#All Device Types#Switches"",""Location"":""Location#All Locations#HQ#Floor3"",""ISEPolicySetName"":""Corp Wired 802.1X""}"
cisco-meraki,"{""ts"":1786035871.402841,""eventType"":""association"",""networkId"":""L_418273904651283741"",""deviceSerial"":""Q2XK-7PL9-MZV2"",""deviceName"":""AP-BOS-3F-04"",""clientMac"":""00:0d:3a:f2:c4:1b"",""clientDescription"":""marcus-mbp"",""ssidNumber"":1,""ssidName"":""Acme-Corp"",""band"":""5"",""channel"":44,""rssi"":62,""vap"":1,""aid"":41827,""radio"":1,""type"":""802.11r"",""occurredAt"":""2026-08-04T15:24:31.402841Z"",""description"":""802.11 association"",""clientId"":""k9c1e7f"",""category"":""80211""}"
cisco-meraki,"{""ts"":""2026-07-19T06:14:02.771118Z"",""networkId"":""N_884471029337201884"",""networkName"":""HQ - Floor 3"",""deviceSerial"":""Q2XK-2MLP-Q9ZL"",""deviceName"":""MX68-HQ-EDGE"",""type"":""security_event"",""eventType"":""ids_alerted"",""clientMac"":""00:1b:44:11:3a:b7"",""clientId"":""k9f81c3"",""srcIp"":""45.153.160.132:52410"",""destIp"":""10.2.4.19:443"",""protocol"":""tcp"",""priority"":""1"",""classification"":""4"",""blocked"":false,""ruleId"":""meraki:intrusion/snort/GID/1/SID/31801"",""message"":""SERVER-WEBAPP SQL injection attempt"",""signature"":""1:31801:18"",""action"":""alert"",""canonicalName"":""MX68-HQ-EDGE"",""dhcpServerIp"":null,""decisionData"":{""disposition"":""malicious"",""fileHash"":null}}"
cisco-umbrella,"{""timestamp"":""2026-08-04 15:25:02"",""originId"":418273904,""identity"":""marcus-mbp"",""identities"":[""marcus-mbp"",""Engineering""],""identityTypes"":[""Roaming Computers"",""AD Groups""],""internalIp"":""10.1.2.88"",""externalIp"":""203.0.113.47"",""action"":""Allowed"",""queryType"":""A"",""responseCode"":""NOERROR"",""domain"":""api.stripe.com."",""categories"":[""Business Services"",""Financial Institutions""],""blockedCategories"":[],""policyIdentity"":""Engineering"",""policyIdentityType"":""AD Groups"",""allApplications"":[""Stripe""],""appStatus"":"""",""allApplicationCategories"":[""Finance""],""ruleId"":""41827"",""destinationCountries"":[""US""]}"
cisco-umbrella,"{""timestamp"":""2026-07-19 06:14:02"",""policyIdentity"":""HQ Wireless"",""identities"":[""HQ Wireless"",""priya.raghavan@example.net""],""internalIp"":""10.2.44.118"",""externalIp"":""73.118.204.9"",""action"":""Blocked"",""queryType"":""A"",""responseCode"":""NXDOMAIN"",""domain"":""login-microsoftonline.secure-verify-cdn.top."",""categories"":[""Phishing"",""Newly Seen Domains""],""identityTypes"":[""Network"",""AD Users""],""blockedCategories"":[""Phishing""],""ruleId"":""4471882"",""destinationCountries"":[""RU""],""organizationId"":8844710,""mostGranularIdentity"":""priya.raghavan@example.net"",""allApplications"":[],""appStatus"":"""",""allApplicationCategories"":[]}"
clickhouse,"{""date_time"":""2026-08-04 14:59:31.402841"",""thread_name"":""TCPHandler"",""thread_id"":48127,""level"":""Information"",""query_id"":""9c1e7f3a-2b84-5d06-71ab-34cd82ef5091"",""logger_name"":""executeQuery"",""message"":""Read 4182904 rows, 184.22 MiB in 0.418212 sec., 10002104 rows/sec., 440.51 MiB/sec."",""source_file"":""src/Interpreters/executeQuery.cpp; void logQueryFinish"",""source_line"":""433"",""hostname"":""clickhouse-prod-03"",""database"":""analytics"",""table"":""events"",""user"":""reporting"",""client_address"":""10.32.18.204"",""query_kind"":""Select"",""read_rows"":4182904,""read_bytes"":193182904,""result_rows"":1204,""memory_usage"":88271046}"
clickhouse,"{""event_time"":""2026-07-13T08:02:44.331"",""event_time_microseconds"":""2026-07-13T08:02:44.331882"",""thread_name"":""TCPHandler"",""thread_id"":28194,""level"":""Error"",""logger_name"":""executeQuery"",""query_id"":""9f81c3ad-2b74-e560-a1c7-d2b4e9f0a51c"",""message"":""Code: 241. DB::Exception: Memory limit (for query) exceeded: would use 29.84 GiB (attempt to allocate chunk of 4358144 bytes), maximum: 27.94 GiB. (MEMORY_LIMIT_EXCEEDED)"",""exception_code"":241,""query"":""SELECT customer_id, count() FROM events GROUP BY customer_id ORDER BY 2 DESC"",""user"":""analytics"",""address"":""10.44.7.19"",""port"":52410,""database"":""logs"",""read_rows"":9184472118,""read_bytes"":412884719003,""memory_usage"":32043421696,""query_duration_ms"":118442,""host"":""ch-node-05"",""source_id"":""prod""}"
cloudflare,"{""ClientIP"":""203.0.113.47"",""ClientCountry"":""us"",""ClientASN"":701,""ClientRequestHost"":""www.acme.io"",""ClientRequestMethod"":""GET"",""ClientRequestPath"":""/pricing"",""ClientRequestProtocol"":""HTTP/2"",""ClientRequestURI"":""/pricing"",""ClientRequestUserAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36"",""ClientSSLProtocol"":""TLSv1.3"",""ClientSSLCipher"":""AEAD-AES128-GCM-SHA256"",""EdgeStartTimestamp"":""2026-08-04T15:29:02Z"",""EdgeEndTimestamp"":""2026-08-04T15:29:02Z"",""EdgeResponseStatus"":200,""EdgeResponseBytes"":38412,""EdgeResponseContentType"":""text/html"",""EdgeTimeToFirstByteMs"":18,""EdgeColoCode"":""BOS"",""EdgeColoID"":213,""OriginIP"":""198.51.100.201"",""OriginResponseStatus"":200,""OriginResponseDurationMs"":42,""CacheCacheStatus"":""hit"",""CacheResponseBytes"":38412,""CacheTieredFill"":false,""RayID"":""9c1e7f3a2b845d06"",""SecurityAction"":""unknown"",""SecurityLevel"":""med"",""WAFAttackScore"":1,""WorkerSubrequest"":false,""ZoneID"":4182739046512,""ZoneName"":""acme.io"",""BotScore"":98,""BotScoreSrc"":""Machine Learning""}"
cloudflare,"{""EdgeStartTimestamp"":""2026-07-19T06:14:02Z"",""EdgeEndTimestamp"":""2026-07-19T06:14:02Z"",""RayID"":""9f81c3ad2b74e560"",""ClientIP"":""45.153.160.132"",""ClientCountry"":""nl"",""ClientASN"":9009,""ClientRequestHost"":""api.example.net"",""ClientRequestMethod"":""GET"",""ClientRequestURI"":""/v1/search?q=1%27%20UNION%20SELECT%20password%20FROM%20users--"",""ClientRequestProtocol"":""HTTP/2"",""ClientRequestUserAgent"":""python-requests/2.32.3"",""EdgeResponseStatus"":403,""EdgeResponseBytes"":1284,""OriginResponseStatus"":0,""OriginIP"":"""",""CacheCacheStatus"":""unknown"",""EdgeColoCode"":""AMS"",""EdgePathingOp"":""ban"",""EdgePathingSrc"":""filterBasedFirewall"",""EdgePathingStatus"":""nr"",""SecurityAction"":""block"",""SecurityRuleID"":""efb7908a51ed4f0bb2e6bd4dd0b4b39c"",""SecurityRuleDescription"":""SQLi - Union Select"",""SecuritySources"":[""waf""],""WAFAttackScore"":98,""WAFSQLiAttackScore"":99,""BotScore"":3,""BotScoreSrc"":""Machine Learning"",""ZoneName"":""example.net"",""WorkerSubrequest"":false}"
cloudflare-workers,"{""outcome"":""ok"",""scriptName"":""acme-edge-api"",""eventTimestamp"":1786038871402,""event"":{""request"":{""url"":""https://edge.acme.io/v1/geo"",""method"":""GET"",""cf"":{""colo"":""BOS"",""country"":""US"",""city"":""Boston"",""asn"":701,""asOrganization"":""Verizon Business"",""httpProtocol"":""HTTP/2"",""tlsVersion"":""TLSv1.3"",""clientTcpRtt"":12,""botManagement"":{""score"":98,""verifiedBot"":false}},""headers"":{""user-agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/128.0.0.0"",""cf-ray"":""9c1e7f3a2b845d06-BOS""}},""response"":{""status"":200}},""logs"":[{""message"":[""geo lookup served from cache""],""level"":""log"",""timestamp"":1786038871398}],""exceptions"":[],""diagnosticsChannelEvents"":[],""scriptVersion"":{""id"":""9c1e7f3a-2b84-5d06-71ab-34cd82ef5091""},""cpuTimeMs"":1.4,""wallTimeMs"":4.2}"
cloudflare-workers,"{""outcome"":""exception"",""scriptName"":""edge-auth"",""eventTimestamp"":1783235642771,""event"":{""request"":{""url"":""https://api.example.net/v1/session"",""method"":""POST"",""cf"":{""colo"":""AMS"",""country"":""NL"",""asn"":9009,""clientTcpRtt"":42,""tlsVersion"":""TLSv1.3"",""httpProtocol"":""HTTP/2"",""botManagement"":{""score"":12,""verifiedBot"":false}},""headers"":{""user-agent"":""python-requests/2.32.3"",""cf-ray"":""9f81c3ad2b74e560-AMS""}},""response"":{""status"":500}},""exceptions"":[{""name"":""Error"",""message"":""KV GET failed: Too many subrequests. Workers can make up to 50 subrequests per request."",""timestamp"":1783235642771,""stack"":""Error: Too many subrequests\n    at Object.fetch (worker.js:118:22)""}],""logs"":[{""level"":""warn"",""timestamp"":1783235642701,""message"":[""session lookup miss, falling back to origin"",""sess_4471""]}],""scriptVersion"":{""id"":""c41b7e28-5d90-4a13-8f66-9e2c0473ab55""},""diagnosticsChannelEvents"":[],""cpuTimeMs"":48.2,""wallTimeMs"":1184}"
cockroachdb,"{""channel"":""SQL_EXEC"",""timestamp"":""2026-08-04T14:52:02.118402Z"",""severity"":""INFO"",""goroutine"":481272,""file"":""sql/exec_log.go"",""line"":227,""node_id"":4,""cluster_id"":""c1d84f2e-7b93-4a16-9f0c-3e5d81aa4b62"",""instance_id"":4,""EventType"":""query_execute"",""Statement"":""SELECT id, total_cents, status FROM orders.invoices WHERE account_id = $1 ORDER BY created_at DESC LIMIT $2"",""Tag"":""SELECT"",""User"":""app_writer"",""ApplicationName"":""checkout-api"",""ExecMode"":""exec"",""NumRows"":25,""Age"":38.412,""FullTableScan"":false,""TxnCounter"":184291,""Database"":""orders"",""StatementFingerprintID"":""9c1e7f3a2b845d06"",""SQLSTATE"":""00000""}"
cockroachdb,"{""timestamp"":""2026-07-27T02:33:41.884019Z"",""severity"":""WARNING"",""channel"":""OPS"",""goroutine"":4471,""file"":""kv/kvserver/replica_range_lease.go"",""line"":1188,""entry_counter"":88441,""tags"":{""n"":3,""s"":3,""r"":""114/2:/Table/108/1/8{81…-99…}""},""message"":""have been waiting 15.0s attempting to acquire lease; replica has no lease and is not the leaseholder"",""cluster_id"":""7b1c9d43-e02a-4f18-9c56-2ab7d0148e39"",""node_id"":3,""version"":""v24.1.3"",""error"":""[NotLeaseHolderError] lease held by different store""}"
coinbase,"{""id"":""9c1e7f3a-2b84-5d06-71ab-34cd82ef5091"",""type"":""transaction.created"",""created_at"":""2026-08-04T15:46:31Z"",""api_version"":""2026-06-01"",""resource"":""event"",""data"":{""id"":""3f81c7a2-9d64-4e0b-8a15-2c7be93df401"",""type"":""send"",""status"":""completed"",""amount"":{""amount"":""-0.04182739"",""currency"":""BTC""},""native_amount"":{""amount"":""-2841.19"",""currency"":""USD""},""description"":null,""created_at"":""2026-08-04T15:46:28Z"",""updated_at"":""2026-08-04T15:46:30Z"",""resource"":""transaction"",""instant_exchange"":false,""network"":{""status"":""confirmed"",""hash"":""9c1e7f3a2b845d0671ab34cd82ef50918f2a1c4d6e0b8a152c7be93df4018827"",""name"":""bitcoin"",""transaction_fee"":{""amount"":""0.00001204"",""currency"":""BTC""},""confirmations"":3},""to"":{""resource"":""bitcoin_address"",""address"":""bc1qxk7pl9mzv2qr8zx1qw4er7ty0uiopasdf2ghjk""},""details"":{""title"":""Sent Bitcoin"",""subtitle"":""To Bitcoin address"",""header"":""Sent 0.04182739 BTC ($2,841.19)""}}}"
coinbase,"{""id"":""9f81c3ad-2b74-e560-a1c7-d2b4e9f0a51c"",""type"":""withdrawal.rejected"",""created_at"":""2026-07-26T09:14:02Z"",""account_id"":""c41b7e28-5d90-4a13-8f66-9e2c0473ab55"",""user_id"":""a7f19c4b-2d80-4e35-91ac-6b70e2d3f581"",""data"":{""id"":""4418822109337201884"",""type"":""send"",""status"":""failed"",""amount"":{""amount"":""-0.48210000"",""currency"":""BTC""},""native_amount"":{""amount"":""-31842.19"",""currency"":""USD""},""description"":null,""created_at"":""2026-07-26T09:13:44Z"",""updated_at"":""2026-07-26T09:14:02Z"",""resource"":""transaction"",""network"":{""status"":""unconfirmed"",""name"":""bitcoin"",""hash"":null},""to"":{""resource"":""bitcoin_address"",""address"":""bc1q9f81c3ad2b74e560a1c7d2b4e9f0a51c3d8e7b6"",""currency"":""BTC""},""details"":{""title"":""Send bitcoin"",""subtitle"":""To Bitcoin address"",""header"":""Rejected""},""error"":{""id"":""validation_error"",""message"":""Withdrawal blocked: destination address matches a sanctioned entity on the OFAC SDN list"",""code"":""compliance_hold""}},""additional_data"":{""hold_id"":""441882210"",""review_required"":true,""risk_score"":97}}"
confluence,"{""timestamp"":1786036591402,""webhookEvent"":""page_updated"",""page"":{""id"":418273904,""title"":""Checkout API Runbook"",""spaceKey"":""PLAT"",""version"":42,""creatorAccountId"":""618f3a91fbd2e846509a1b7c"",""lastModifierAccountId"":""618f3a91fbd2e846509a1b7c"",""self"":""https://acme.atlassian.net/wiki/rest/api/content/418273904"",""status"":""current"",""type"":""page"",""parentId"":418273801},""userAccountId"":""618f3a91fbd2e846509a1b7c"",""modificationDate"":1786036591402,""updateTrigger"":""edit_page"",""versionComment"":""Add scaling steps for p99 incidents"",""minorEdit"":false}"
confluence,"{""timestamp"":""2026-07-26T09:14:02.771Z"",""eventType"":""page.permission_denied"",""auditType"":{""category"":""Permissions"",""actionI18nKey"":""security.audit.permission.denied"",""level"":""ADVANCED""},""author"":{""accountId"":""5f8814471882210933720188"",""displayName"":""Contractor Dev"",""accountType"":""atlassian"",""email"":""contractor@example.net""},""remoteAddress"":""91.219.238.11"",""affectedObjects"":[{""name"":""Q3 Security Roadmap"",""objectType"":""PAGE"",""id"":""441882210""},{""name"":""SECOPS"",""objectType"":""SPACE"",""id"":""88447""}],""changedValues"":[],""summary"":""User attempted to view a restricted page"",""description"":""Access denied: page restriction 'View' does not include user or their groups"",""superAdmin"":false,""sysAdmin"":false,""spaceKey"":""SECOPS"",""result"":""DENIED"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/138.0.0.0""}"
consul,"{""@level"":""info"",""@message"":""Synced service"",""@module"":""agent"",""@timestamp"":""2026-08-04T14:41:31.402841Z"",""service"":""checkout-api"",""node"":""consul-client-7f3a"",""datacenter"":""us-east-1"",""address"":""10.1.5.42"",""port"":8080,""tags"":[""v4"",""prod""],""check_status"":""passing"",""raft_index"":8471928}"
consul,"{""@timestamp"":""2026-07-27T02:33:41.884Z"",""@level"":""error"",""@module"":""agent.server.raft"",""@message"":""failed to appendEntries to"",""peer"":{""Suffrage"":""Voter"",""ID"":""7b1c9d43-e02a-4f18-9c56-2ab7d0148e39"",""Address"":""10.10.4.22:8300""},""error"":""dial tcp 10.10.4.22:8300: i/o timeout"",""node"":""consul-server-1"",""datacenter"":""dc1"",""term"":184,""leader"":true}"
containerd,"{""level"":""info"",""time"":""2026-08-04T14:36:12.418293Z"",""msg"":""StartContainer for \""9c1e7f3a2b845d0671ab34cd82ef50918f2a1c4d6e0b8a152c7be93df4018827\"" returns successfully"",""namespace"":""k8s.io"",""container_id"":""9c1e7f3a2b845d0671ab34cd82ef50918f2a1c4d6e0b8a152c7be93df4018827"",""pod_name"":""checkout-api-7f9c4b8d2e-xk4q1"",""pod_namespace"":""checkout"",""image"":""ghcr.io/acme/checkout-api:4.12.0"",""runtime"":""io.containerd.runc.v2"",""pid"":48127}"
containerd,"{""level"":""error"",""msg"":""StartContainer for \""9f81c3ad2b74e560a1c7d2b4e9f0a51c3d8e7b62191ac6b70e2d3f5811ab4c07\"" failed"",""error"":""failed to create containerd task: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: \""/app/entrypoint.sh\"": stat /app/entrypoint.sh: no such file or directory: unknown"",""time"":""2026-07-09T15:20:41.883104512Z"",""container_id"":""9f81c3ad2b74e560a1c7d2b4e9f0a51c3d8e7b62191ac6b70e2d3f5811ab4c07"",""namespace"":""k8s.io"",""runtime"":""io.containerd.runc.v2"",""pid"":0}"
cortex-xdr,"{""event_id"":""c1d84f2e7b934a169f0c3e5d81aa4b62"",""event_timestamp"":1786035122184,""event_type"":""PROCESS"",""event_sub_type"":""PROCESS_START"",""agent_id"":""9c1e7f3a2b845d0671ab34cd82ef5091"",""agent_hostname"":""app-vm-04.acme.io"",""agent_os_type"":""AGENT_OS_LINUX"",""agent_os_sub_type"":""Ubuntu 22.04.4 LTS"",""agent_ip_addresses"":[""10.1.2.14""],""actor_process_image_name"":""node"",""actor_process_image_path"":""/usr/local/bin/node"",""actor_process_command_line"":""node /app/dist/server.js --port 8080"",""actor_process_image_sha256"":""7f3a91fbd2e846509a1b7c8d9e0f1a2b3c4d5e6f7081920a1b2c3d4e5f607182"",""actor_process_os_pid"":48127,""actor_effective_username"":""appuser"",""causality_actor_process_image_name"":""systemd"",""action_process_image_name"":""node"",""tenant_id"":""1284192046512"",""severity"":""SEVERITY_INFO"",""mitre_tactic_id_and_name"":null,""mitre_technique_id_and_name"":null}"
cortex-xdr,"{""event_id"":""9f81c3ad2b74e560a1c7d2b4e9f0a51c"",""event_timestamp"":1783194841772,""severity"":""high"",""alert_name"":""Suspicious LSASS handle access"",""alert_category"":""Credential Access"",""alert_source"":""XDR Agent"",""action"":""BLOCKED"",""action_pretty"":""Prevented (Block)"",""description"":""An attempt to obtain a handle to lsass.exe with PROCESS_VM_READ was blocked by the Behavioral Threat Protection module."",""host_name"":""prod-win-app-04"",""host_ip"":[""10.2.4.19""],""agent_id"":""c41b7e285d904a138f669e2c0473ab55"",""agent_os_type"":""AGENT_OS_WINDOWS"",""agent_version"":""8.5.0.108442"",""actor_process_image_name"":""rundll32.exe"",""actor_process_command_line"":""rundll32.exe comsvcs.dll MiniDump 712 C:\\Temp\\out.dmp full"",""actor_process_image_sha256"":""3f81c9a47b204d168e53cc10a7b29d641ab7c052e1f7a92c8b404d3591ac6b70"",""actor_process_signature_status"":""SIGNATURE_SIGNED"",""causality_actor_process_image_name"":""cmd.exe"",""user_name"":""CORP\\svc_backup"",""mitre_tactic_id_and_name"":[""TA0006 - Credential Access""],""mitre_technique_id_and_name"":[""T1003.001 - OS Credential Dumping: LSASS Memory""],""incident_id"":""884471"",""starred"":false,""is_whitelisted"":false}"
couchbase,"{""timestamp"":""2026-08-04T14:54:02.118Z"",""severity"":""INFO"",""component"":""query"",""node"":""cb-prod-03.acme.io"",""requestId"":""c1d84f2e-7b93-4a16-9f0c-3e5d81aa4b62"",""statement"":""SELECT meta().id, total_cents FROM `orders` WHERE type = 'invoice' AND accountId = $1 LIMIT 25"",""clientContextId"":""checkout-api-8827"",""elapsedTime"":""41.882ms"",""serviceTime"":""38.412ms"",""resultCount"":25,""resultSize"":18412,""errorCount"":0,""remoteAddr"":""10.32.14.87:48122"",""userAgent"":""couchbase-go-sdk/2.9.1"",""users"":""app_writer"",""scan_consistency"":""not_bounded"",""statementType"":""SELECT""}"
couchbase,"{""timestamp"":""2026-07-16T21:07:44.118Z"",""level"":""error"",""component"":""query"",""node"":""cb-node-02.prod.example.net:8091"",""bucket"":""orders"",""scope"":""inventory"",""collection"":""skus"",""statement"":""SELECT META().id FROM `orders`.`inventory`.`skus` WHERE qty < $1"",""request_id"":""9f81c3ad-2b74-e560-a1c7-d2b4e9f0a51c"",""client_context_id"":""payments-svc-4471"",""status"":""fatal"",""errors"":[{""code"":12016,""msg"":""Index Not Found - cause: GSI index idx_qty not found.""}],""elapsed_time"":""41.882ms"",""execution_time"":""39.117ms"",""result_count"":0,""result_size"":0,""error_count"":1}"
