"type","log"
"openvpn","<134>Aug  4 10:13:47 vpn-gw-01 openvpn[2891]: pcasey/198.51.100.132:51204 MULTI_sva: pool returned IPv4=10.100.8.24, IPv6=(Not enabled) TLS: Username/Password authentication succeeded"
"openvpn","<86>1 2026-03-15T07:25:59.147Z vpn-gw-01 openvpn 2712 - - TLS Error: TLS handshake failed, client 203.0.113.188:51229 certificate revoked (serial 4A:2B:91:0C), connection reset"
"strongswan","<134>Aug  4 10:14:52 ipsec-gw-02 charon[1994]: 09[IKE] IKE_SA site-to-site-dc2[18] established between 203.0.113.10[dc1.example.com]...198.51.100.10[dc2.example.com]"
"strongswan","<86>1 2026-03-15T07:48:22.663Z ipsec-gw-02 charon 1904 - [ike spi=""a91c3f7b2d0e4488""] received AUTHENTICATION_FAILED notify error from 198.51.100.240; IKE_SA site2site-dallas[14] establishing failed"
"wireguard","<6>Aug  4 10:15:26 wg-hub-01 kernel: [ 8821.114029] wireguard: wg0: Receiving handshake response from peer 14 (198.51.100.204:51820)"
"wireguard","<28>1 2026-03-15T08:04:47.220Z wg-hub-01 kernel - - - wireguard: wg0: Invalid handshake initiation from 45.61.136.9:51820 (mac1 mismatch), dropping"
"cisco_asa","<166>Aug  4 10:16:04 asa-edge-01 %ASA-6-302013: Built inbound TCP connection 8842119 for outside:203.0.113.72/44821 (203.0.113.72/44821) to inside:10.10.4.51/443 (198.51.100.5/443)"
"cisco_asa","<164>1 2026-03-15T08:26:13.008Z asa-edge-01 ASA - %ASA-4-106023 [cisco acl=""outside_access_in""] %ASA-4-106023: Deny tcp src outside:185.220.101.42/51422 dst inside:10.20.4.11/3389 by access-group ""outside_access_in"" [0x5063b82f, 0x0]"
"cisco_ios","<189>Aug  4 10:17:31 dist-sw-04 4412: dist-sw-04: *Aug  4 14:17:31.442: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/24, changed state to up"
"cisco_ios","<188>1 2026-03-15T08:44:36.771Z dist-sw-02 IOS - %SEC_LOGIN-4-LOGIN_FAILED - %SEC_LOGIN-4-LOGIN_FAILED: Login failed [user: netops] [Source: 10.30.44.87] [localport: 22] [Reason: Login Authentication Failed] at 08:44:36 UTC Sun Mar 15 2026"
"cisco_nxos","<187>Aug  4 10:18:12 nexus-spine-01 : 2026 Aug  4 10:18:12 EDT: %ETHPORT-5-IF_UP: Interface Ethernet1/17 is up in mode access"
"cisco_nxos","<187>1 2026-03-15T09:07:52.394Z nexus-9k-01 NXOS - ETHPORT-5-IF_DOWN_ERROR_DISABLED [nxos interface=""Ethernet1/17""] %ETHPORT-5-IF_DOWN_ERROR_DISABLED: Interface Ethernet1/17 is down (Error disabled. Reason:BPDU guard error)"
"palo_alto_panos","<14>Aug  4 10:19:40 pa-fw-3220 1,2026/08/04 10:19:40,013201004821,TRAFFIC,end,2561,2026/08/04 10:19:40,10.62.4.88,142.250.72.206,198.51.100.6,142.250.72.206,Corp-Outbound-Web,jspencer,,ssl,vsys1,Trust,Untrust,ae1.20,ae2,LogForward-Panorama,2026/08/04 10:19:40,884211,1,52144,443,41022,443,0x40001c,tcp,allow,88214,44120,44094,42,2026/08/04 10:19:12,28,computer-and-internet-info,,7742019884,0x0,10.0.0.0-10.255.255.255,United States,,22,20"
"palo_alto_panos","<86>1 2026-03-15T09:31:20.556Z pa-3220-01 PAN-OS - THREAT - 1,2026/03/15 09:31:20,013201004545,THREAT,vulnerability,2562,2026/03/15 09:31:20,10.20.9.63,45.61.136.9,0.0.0.0,0.0.0.0,allow-outbound,,,ssl,vsys1,Trust,Untrust,ae1.10,ae2,LogForward,2026/03/15 09:31:20,214881,1,49811,443,0,0,0x2000,tcp,reset-both,""login.php"",Cobalt Strike Beacon Detection(86482),any,critical,client-to-server"
"fortigate","<188>Aug  4 10:20:18 fgt-branch-07 date=2026-08-04 time=10:20:18 devname=""fgt-branch-07"" devid=""FG100FTK21004821"" logid=""0000000013"" type=""traffic"" subtype=""forward"" level=""notice"" vd=""root"" eventtime=1786015218 srcip=192.168.22.41 srcport=51882 srcintf=""internal"" dstip=52.96.104.18 dstport=443 dstintf=""wan1"" action=""accept"" policyid=12 service=""HTTPS"" sentbyte=8421 rcvdbyte=41022 duration=42 app=""Microsoft.Outlook"" user=""nrivera"""
"fortigate","<188>1 2026-03-15T09:52:44.117Z fgt-hq-01 FortiGate - 0101039947 - date=2026-03-15 time=09:52:44 devname=""fgt-hq-01"" devid=""FG100ETK19004521"" logid=""0101039947"" type=""event"" subtype=""vpn"" level=""alert"" vd=""root"" eventtime=1773568364 logdesc=""SSL VPN login fail"" action=""ssl-login-fail"" tunneltype=""ssl-web"" tunnelid=0 remip=185.234.219.30 user=""administrator"" group=""N/A"" dst_host=""N/A"" reason=""sslvpn_login_permission_denied"" msg=""SSL user failed to logged in"""
"juniper_junos","<28>Aug  4 10:21:05 mx-edge-02 rpd[3312]: RPD_OSPF_NBRUP: OSPF neighbor 10.255.4.2 (realm ospf-v2 ae0.0 area 0.0.0.0) state changed from Loading to Full due to LoadDone (event LoadDone)"
"juniper_junos","<188>1 2026-03-15T10:14:07.882Z mx480-core-01 rpd 1442 - [junos peer=""203.0.113.2""] bgp_hold_timeout:4155: NOTIFICATION sent to 203.0.113.2 (External AS 64512): code 4 (Hold Timer Expired Error), Reason: holdtime expired for 203.0.113.2 (External AS 64512)"
"f5_bigip","<134>Aug  4 10:22:39 bigip-ltm-01 tmm1[4412]: 01260009:6: Connection error accepted: /Common/vs_api_https 10.7.2.44:52210 -> 10.7.0.80:443 pool /Common/pool_api member 10.7.10.21:8443 monitor status up"
"f5_bigip","<187>1 2026-03-15T10:35:51.330Z bigip-01.example.com tmm 5566 - - 01260009:3: Connection error: ssl_hs_rxstate:2247: alert(46) certificate unknown - client 203.0.113.150:44112 to virtual /Common/vs_portal_https"
"sonicwall","<134>Aug  4 10:23:14 sonicwall-nsa id=firewall sn=18B169884211 time=""2026-08-04 10:23:14"" fw=198.51.100.30 pri=6 c=1024 m=537 msg=""Connection Opened"" n=442190 src=192.168.30.62:51022:X0 dst=104.18.32.47:443:X1 proto=tcp/https sent=1842 rcvd=8842 usr=""bmoreau"""
"sonicwall","<86>1 2026-03-15T10:58:24.601Z nsa-2700-br12 SonicWall - 1195 [sw pri=""1"" cat=""Intrusion""] id=firewall sn=18B1690F2C44 time=""2026-03-15 10:58:24"" fw=198.51.100.30 pri=1 c=32 m=1195 msg=""IPS Prevention Alert: SMB Possible EternalBlue Exploit"" n=2214 src=10.60.3.77:49233:X0 dst=10.60.3.11:445:X0 proto=tcp/445"
"checkpoint_gaia","<134>Aug  4 10:24:52 cp-gw-01 CheckPoint[8842]: time=1786015492|action=accept|orig=10.1.0.5|i/f_dir=inbound|i/f_name=eth1|product=VPN-1 & FireWall-1|rule=18|rule_uid={A1B2C3D4-1122-4E55-9F0A-778899AABBCC}|src=10.1.44.72|s_port=51204|dst=203.0.113.140|service=443|proto=tcp|xlatesrc=198.51.100.7|message_info=Accepted by policy Standard"
"checkpoint_gaia","<86>1 2026-03-15T11:19:38.045Z cp-mgmt-01 CheckPoint - - [cp action=""drop"" rule=""14""] product=""VPN-1 & FireWall-1"" action=""drop"" orig=""10.70.0.1"" i/f_dir=""inbound"" i/f_name=""eth1"" src=""176.113.115.84"" dst=""10.70.4.20"" proto=""tcp"" service=""445"" rule=""14"" rule_name=""Block SMB from Internet"" reason=""Rule match"""
"pfsense","<134>Aug  4 10:25:33 pfsense-hq filterlog[41022]: 118,,,1700000101,em1,match,pass,in,4,0x0,,63,44821,0,DF,6,tcp,60,192.168.1.144,151.101.1.69,52104,443,0,S,884211904,,65535,,mss;sackOK;TS;nop;wscale"
"pfsense","<164>1 2026-03-15T11:41:02.918Z pfsense-br03.example.net filterlog 33122 - - 118,,,1533116066,igb0,match,block,in,4,0x0,,113,54321,0,DF,6,tcp,60,89.248.165.44,198.51.100.62,54922,23,0,S,3712884921,,64240,,mss;sackOK;TS;nop;wscale"
"opnsense","<134>Aug  4 10:26:11 opnsense-lab filterlog[88214]: 42,,,f0e9dd1a4b2c7e88,igb0,match,pass,in,4,0x0,,64,18422,0,none,17,udp,76,10.99.1.24,10.99.0.1,51122,53,56,datagram"
"opnsense","<164>1 2026-03-15T12:03:47.552Z opnsense-lab-01 filterlog 40155 - [fw iface=""igb1"" action=""block""] 5,,,f2c8d1e0a4,igb1,match,block,in,4,0x0,,64,0,0,none,17,udp,72,192.168.50.199,239.255.255.250,1900,1900,52,Default deny / state violation rule"
"mikrotik_routeros","<30>Aug  4 10:27:04 mikrotik-ccr system,info: user admin logged in from 10.88.0.42 via winbox"
"mikrotik_routeros","<86>1 2026-03-15T12:26:14.207Z rb4011-branch-08 RouterOS - - - system,error,critical login failure for user admin from 141.98.10.63 via winbox (repeated 12 times in 60s)"
"arista_eos","<189>Aug  4 10:28:22 arista-leaf-11 Ebra: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet49/1 (Po1), changed state to up"
"arista_eos","<187>1 2026-03-15T12:48:39.881Z leaf-07.dc2.example.net Lacp - LACP-4-TIMEOUT [eos intf=""Ethernet14""] %LACP-4-TIMEOUT: Timed out receiving LACP PDUs on Ethernet14, member of Port-Channel3; port removed from LAG"
"hpe_aruba_os","<134>Aug  4 10:29:47 aruba-mm-01 authmgr[3312]: <522008> <NOTI> <aruba-mm-01 10.40.0.10> User authentication successful: username=slindqvist MAC=b8:27:eb:41:9c:2d IP=10.41.8.114 method=802.1x role=employee AP=AP-315-BLDG2-3F"
"hpe_aruba_os","<86>1 2026-03-15T13:10:55.664Z aruba-6300-idf2 cli - - [aruba module=""RADIUS""] Authentication failed for user 'guest-kiosk' on port 1/1/22 - RADIUS server 10.30.0.44 unreachable; port placed in unauthorized state"
"ubiquiti_unifi","<30>Aug  4 10:30:19 unifi-udm-pro hostapd: ath0: STA 3c:22:fb:8a:41:d9 IEEE 802.11: associated (aid 12) ssid=""Corp-WiFi"" bssid=74:83:c2:11:04:8a signal=-52"
"ubiquiti_unifi","<28>1 2026-03-15T13:33:21.470Z udm-pro-hq hostapd 2288 - - ath1: STA 6e:2c:11:af:90:3d IEEE 802.11: authentication failed - WPA2 4-way handshake timeout (SSID Corp-Secure), deauthenticating (reason 15)"
"cisco_meraki","<134>Aug  4 10:31:52 meraki-mx84 events type=association radio='1' vap='2' channel='36' rssi='48' aid='2214' ssid='HQ-Staff' identity='dnakamura' client_mac='F0:18:98:22:4B:D1' client_ip='10.150.12.88'"
"cisco_meraki","<134>1 2026-03-15T13:56:08.219Z meraki-mx84-br21 events - security_filtering_file_scanned [meraki disposition=""malicious""] security_event ids_alerted signature=1:31978:6 priority=1 message=""MALWARE-CNC Win.Trojan.Emotet outbound connection"" src=10.80.12.44:52918 dst=193.27.14.221:443 mac=e0:cb:bc:11:2a:99"
"zscaler_nss","<134>Aug  4 10:32:26 zscaler-nss-01 ZscalerNSSWeblog: datetime=2026-08-04 10:32:26 user=mdupont@example.com department=Finance location=Chicago-Branch url=https://www.salesforce.com/services/data action=Allowed reason=Allowed appclass=""Business & Economy"" reqsize=2214 respsize=48211 urlcategory=""Professional Services"" threatname=None riskscore=0"
"zscaler_nss","<134>1 2026-03-15T14:18:44.902Z nss-vm-01 ZscalerNSS - - - datetime=""Sun Mar 15 14:18:44 2026"" user=""dstrauss@example.com"" department=""Finance"" url=""hxxp://free-invoice-templates.example.xyz/dl/setup.exe"" action=""Blocked"" reason=""Malware Site"" threatname=""Win32.Downloader.Generic"" appclass=""General Browsing"" clientip=""10.90.4.61"" serverip=""45.83.91.14"" reqsize=""412"" respsize=""0"""
"okta","<134>Aug  4 10:33:41 okta-siem okta[0]: eventType=user.session.start displayMessage=""User login to Okta"" severity=INFO outcome.result=SUCCESS actor.alternateId=lferreira@example.com client.ipAddress=198.51.100.211 client.geographicalContext.city=Boston authenticationContext.externalSessionId=102s8XqZ1bT4mYaZ8Pk4 debugContext.authnRequestId=YuK9aZ2xLm7TcRk"
"okta","<86>1 2026-03-15T14:41:17.336Z okta-siem okta - user.session.start [okta outcome=""FAILURE"" reason=""INVALID_CREDENTIALS""] eventType=user.session.start outcome=FAILURE reason=""VERIFICATION_ERROR"" actor=jdoe@example.com client=""Chrome on Windows 10"" ipAddress=185.220.101.42 city=""Unknown"" country=""RU"" authenticationStep=1 threatSuspected=true"
"vmware_esxi","<166>Aug  4 10:34:18 esxi-host-06 Hostd: info hostd[2100418] [Originator@6876 sub=Vimsvc.ha-eventmgr opID=88214a-01] Event 44821 : User svc_vcenter@10.60.0.20 logged in as VMware vim-java 1.0"
"vmware_esxi","<27>1 2026-03-15T15:04:52.771Z esxi-node-04.dc1.example.net vmkernel - - - NMP: nmp_ThrottleLogForDevice:3630: Cmd 0x28 (0x45d9c1a2b800, 2101) to dev ""naa.6006016012345678"" on path ""vmhba2:C0:T3:L0"" Failed: H:0x0 D:0x2 P:0x0 Valid sense data: 0x3 0x11 0x0. Act:EVAL"
"proxmox_pve","<30>Aug  4 10:35:09 pve-node-02 pvedaemon[3312]: <root@pam> successful auth for user 'automation@pve' from 10.70.1.44"
"proxmox_pve","<27>1 2026-03-15T15:27:19.114Z pve-node-02 pvedaemon 2118 - [pve vmid=""141"" task=""qmstart""] VM 141 qmp command 'query-status' failed - unable to connect to VM 141 qmp socket - timeout after 31 retries; start failed"
"netapp_ontap","<134>Aug  4 10:36:44 netapp-fas8300 kern_ems[0]: [netapp-fas8300-01: vifmgr: vifmgr.lifUp:notice]: LIF nfs_lif_01 (on virtual server svm_prod), IP address 10.80.4.20, is now online on node netapp-fas8300-01, port e0d"
"netapp_ontap","<27>1 2026-03-15T15:49:36.502Z fas8300-cl1-01 ONTAP - wafl.vol.full [ontap volume=""vol_vmware_ds01"" aggr=""aggr1_n1""] wafl.vol.full: Volume vol_vmware_ds01@vserver:svm_prod is full (used 100%); writes will fail until space is reclaimed"
"purestorage_flasharray","<134>Aug  4 10:37:22 pure-fa-x50 purity[0]: PURE-INFO: array=pure-fa-x50 component=ct0.eth2 event=""link up"" details=""10Gb/s full duplex"" user=pureuser session=88214 result=success"
"purestorage_flasharray","<27>1 2026-03-15T16:12:04.887Z pure-fa-x50-01 purity - - - ALERT ct1.ssd12 component failure: drive reported unrecoverable media errors and has been evacuated; array redundancy degraded, rebuild in progress"
"docker","<30>Aug  4 10:38:03 container-host-3 dockerd[1522]: time=""2026-08-04T10:38:03.441829105-04:00"" level=info msg=""Container 9f2c41d8b7a3 started"" container=9f2c41d8b7a3e5601f88214acb4d2201 image=registry.example.com/api:1.24.3"
"docker","<27>1 2026-03-15T16:34:41.229Z container-host-09 dockerd 1288 - - level=error msg=""Handler for POST /v1.43/containers/8f2c11ae9d40/start returned error: failed to create task for container: OCI runtime create failed: runc create failed: unable to start container process: exec: \""/app/entrypoint.sh\"": permission denied"""
"containerd","<30>Aug  4 10:39:31 container-host-3 containerd[1188]: time=""2026-08-04T10:39:31.118204411-04:00"" level=info msg=""StartContainer for \""8c1f42a9d0e4b7712a8842119cbd4402\"" returns successfully"""
"containerd","<27>1 2026-03-15T16:51:08.663Z container-host-09 containerd 1102 - [ctr ns=""k8s.io""] level=error msg=""failed to pull image"" error=""failed to resolve reference \""registry.example.com/api:v2.14.1\"": pulling from host registry.example.com failed with status code [manifests v2.14.1]: 401 Unauthorized"""
"kubelet","<30>Aug  4 10:40:14 k8s-worker-07 kubelet[2214]: I0804 10:40:14.882119    2214 kubelet.go:2461] ""SyncLoop ADD"" source=""api"" pods=[prod/api-gateway-7d9f4c8b6c-x2m4q]"
"kubelet","<27>1 2026-03-15T17:13:55.441Z k8s-worker-11 kubelet 1877 - - E0315 17:13:55.441220 1877 pod_workers.go:1298] ""Error syncing pod, skipping"" err=""failed to \""StartContainer\"" for \""orders-api\"" with CrashLoopBackOff: \""back-off 5m0s restarting failed container=orders-api pod=orders-api-7d9f8b6c5-x2lk9_prod(3a1c9e22)\"""""
"etcd","<30>Aug  4 10:41:05 k8s-master-01 etcd[1102]: {""level"":""info"",""ts"":""2026-08-04T10:41:05.442-0400"",""caller"":""mvcc/index.go:214"",""msg"":""compact tree index"",""revision"":8842119}"
"etcd","<27>1 2026-03-15T17:36:22.008Z etcd-02.k8s.example.net etcd 990 - [etcd member=""etcd-02""] {""level"":""warn"",""msg"":""apply request took too long"",""took"":""1.884s"",""expected-duration"":""100ms"",""prefix"":""read-only range "",""error"":""etcdserver: request timed out""}"
"consul","<134>Aug  4 10:42:47 consul-srv-02 consul[1844]:     2026-08-04T10:42:47.118-0400 [INFO]  agent: Synced service: service=api-gateway-10.60.4.19-8080"
"consul","<27>1 2026-03-15T17:58:47.336Z consul-srv-03 consul 1441 - - [ERROR] agent: Coordinate update error: error=""rpc error making call: raft is already shutdown""; leader election in progress, cluster has no leader"
"vault","<134>Aug  4 10:43:19 vault-01 vault[1922]: 2026-08-04T10:43:19.884-0400 [INFO]  core: successful login: accessor=hmac-sha256:9f2c41d8b7a3 auth_method=approle role=api-gateway remote_address=10.60.4.19 ttl=1h"
"vault","<84>1 2026-03-15T18:21:13.552Z vault-01.example.net vault 2277 - [vault path=""auth/approle/login""] {""time"":""2026-03-15T18:21:13.552Z"",""type"":""response"",""auth"":{""client_token"":""hmac-sha256:...""},""request"":{""path"":""auth/approle/login"",""remote_address"":""10.44.2.31""},""error"":""invalid role or secret id""}"
"mysqld","<147>Aug  4 10:44:52 mysql-primary mysqld[3312]: 2026-08-04T10:44:52.442119Z 88214 [Note] [MY-010914] [Server] Access granted for user 'app_rw'@'10.65.2.14' (using password: YES)"
"mysqld","<27>1 2026-03-15T18:44:39.771Z db-primary-01 mysqld 2194 - - [ERROR] [MY-010584] [Repl] Slave I/O for channel '': error connecting to master 'repl@db-primary-01:3306' - retry-time: 60 retries: 12 message: Access denied for user 'repl'@'10.20.5.22' (using password: YES), Error_code: MY-001045"
"postgres","<147>Aug  4 10:45:30 db-core-01 postgres[8842]: 2026-08-04 10:45:30.118 EDT [8842] LOG:  connection authorized: user=reporting database=analytics SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)"
"postgres","<27>1 2026-03-15T19:06:55.114Z pg-primary-02 postgres 3311 - [pg db=""orders"" user=""app_rw""] FATAL:  remaining connection slots are reserved for non-replication superuser connections; connection from 10.20.7.41 rejected (max_connections=200)"
"redis","<147>Aug  4 10:46:11 redis-cache-04 redis-server[1442]: 1442:M 04 Aug 2026 10:46:11.882 * Background saving terminated with success"
"redis","<27>1 2026-03-15T19:29:12.663Z cache-redis-01 redis-server 1055 - - # MISCONF Errors writing to the AOF file: No space left on device; background save failed, DB writes are now disabled"
"mongod","<147>Aug  4 10:47:44 mongo-rs0-2 mongod[2884]: {""t"":{""$date"":""2026-08-04T10:47:44.221-04:00""},""s"":""I"",""c"":""NETWORK"",""id"":51800,""ctx"":""conn8842"",""msg"":""client metadata"",""attr"":{""remote"":""10.68.3.51:52104"",""client"":""conn8842"",""doc"":{""driver"":{""name"":""mongo-go-driver"",""version"":""1.15.0""}}}}"
"mongod","<27>1 2026-03-15T19:52:38.447Z mongo-rs0-02 mongod 2801 - [mongo rs=""rs0"" state=""SECONDARY""] {""t"":""2026-03-15T19:52:38.447Z"",""s"":""E"",""c"":""REPL"",""msg"":""Replication oplog fetcher error"",""attr"":{""error"":""OplogStartMissing: Our last optime fetched is newer than the sync source's oplog start""}}"
"elasticsearch","<147>Aug  4 10:48:26 es-data-05 elasticsearch[4471]: [2026-08-04T10:48:26,118][INFO ][o.e.c.r.a.AllocationService] [es-data-05] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[logs-2026.08.04][2]]])"
"elasticsearch","<27>1 2026-03-15T20:15:04.229Z es-data-05.example.net elasticsearch 4412 - - [o.e.c.r.a.DiskThresholdMonitor] [es-data-05] flood stage disk watermark [95%] exceeded on [nQ2f9dKQ][es-data-05][/var/lib/elasticsearch/nodes/0] free: 4.1gb[3.2%], all indices on this node will be marked read-only"
"rabbitmq","<147>Aug  4 10:49:03 rabbit-01 rabbitmq-server[2210]: 2026-08-04 10:49:03.441 [info] <0.8842.0> accepting AMQP connection <0.8842.0> (10.66.1.32:51204 -> 10.66.0.10:5672 - orders-worker)"
"rabbitmq","<27>1 2026-03-15T20:37:41.881Z mq-node-02 rabbitmq 1990 - [amqp vhost=""/prod"" user=""svc_orders""] closing AMQP connection <0.14882.3> (10.20.8.19:51221 -> 10.20.8.31:5672): {handshake_error,starting,access_refused,""PLAIN login refused: user 'svc_orders' - invalid credentials"""
"kafka","<147>Aug  4 10:50:37 kafka-broker-2 kafka[5521]: [2026-08-04 10:50:37,882] INFO [GroupCoordinator 2]: Stabilized group order-events-consumer generation 412 (__consumer_offsets-18) with 6 members (kafka.coordinator.group.GroupCoordinator)"
"kafka","<27>1 2026-03-15T21:00:18.336Z kafka-broker-03 kafka 5177 - - ERROR [ReplicaFetcher replicaId=3, leaderId=1, fetcherId=0] Error for partition orders-events-7 at offset 8841223 (kafka.server.ReplicaFetcherThread) org.apache.kafka.common.errors.NotLeaderOrFollowerException: This server is not the leader for that topic-partition."
"zabbix_agent","<134>Aug  4 10:51:14 app-node-11 zabbix_agentd[1804]: active check configuration update from [10.75.0.20:10051] started to be processed, 88 items received"
"zabbix_agent","<28>1 2026-03-15T21:22:44.552Z app-prod-05 zabbix_agentd 1211 - [zbx server=""10.30.0.60""] failed to accept an incoming connection: connection from ""10.30.9.201"" rejected, allowed hosts: ""10.30.0.60"""
"asterisk","<134>Aug  4 10:52:41 pbx-voice-01 asterisk[3390]: NOTICE[3390][C-000188a2] chan_sip.c: Registration from '""4102"" <sip:4102@10.85.0.10>' succeeded from 10.85.14.62:5060"
"asterisk","<86>1 2026-03-15T21:45:09.771Z pbx-01.example.com asterisk 2664 - - NOTICE[2664][C-0000a41f] chan_sip.c: Registration from '""1001"" <sip:1001@pbx-01.example.com>' failed for '92.63.197.153:5062' - Wrong password (12th attempt in 40s)"
"freeswitch","<134>Aug  4 10:53:18 fs-voice-02 freeswitch[4412]: 2026-08-04 10:53:18.882119 [NOTICE] switch_channel.c:1142 New Channel sofia/internal/1004@10.86.0.11 [9f2c41d8-b7a3-4e56-a012-8842119cbd44]"
"freeswitch","<86>1 2026-03-15T22:07:36.114Z fs-edge-02.example.net freeswitch 3390 - [sip profile=""external""] [WARNING] sofia_reg.c:1712 SIP auth failure (REGISTER) on sofia profile 'external' for [4415@fs-edge-02.example.net] from ip 45.155.205.211 - possible toll-fraud scan, adding to ACL blacklist"
